strain	kingdom	phylum	class	order	family	genus	species	taxon_lineage_ids	taxon_lineage_names	NCBI_refseq_accession	NCBI_taxon_identifier	organism	full_scientific_name	plasmids	genome_length	sequencing_platform	genome_status
GBA129-24	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Actinoalloteichus	NA	131567|2157|28890|224756|94695|2206|2175	cellular organisms|Bacteria|Terrabacteria group|Actinobacteria|Actinobacteria|Pseudonocardiales|Pseudonocardiaceae|Actinoalloteichus	missing	1612551	Actinoalloteichus sp.	Actinoalloteichus sp. GBA129-24	1	7275385	Illumina	Complete
KCTC 12796BP	Bacteria	Firmicutes	Bacillales	Bacillales	Bacillaceae	Bacillus	NA	131567|2|1783272|1760|1760|85006|85023|33882	cellular organisms|Bacteria|Terrabacteria group|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus	NZ_CP018197.1:NZ_CP018198.1	561879	Bacillus safensis	Bacillus safensis strain KCTC 12796BP	1	3972564	PacBio	Complete
Z-7982:DSM 3094:OCM 160:NBRC 107633	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanohalophilus	NA	131567|2|1224|1236|72273|135616|1237	cellular organisms|Archaea|Euryarchaeota|Methanomicrobia|Methanosarcinales|Methanosarcinaceae|Methanohalophilus	NZ_CP017921.1	2177	Methanohalophilus halophilus	Methanohalophilus halophilus strain Z-7982	missing	2022959	Illumina HiSeq|Illumina MiSeq	Complete
LKL04	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	NA	131567|2|1224|1236|72273|135616|1237	cellular organisms|Bacteria|Terrabacteria group|Actinobacteria|Actinobacteria|Micrococcales|Microbacteriaceae|Microbacterium	LT627736.1	912630	Microbacterium sp.	Microbacterium sp. LKL04	missing	2922123	missing	Complete
UB-MaderosW2red	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Candidatus Aquiluna	NA	131567|2|1783272|1760|1760|85007|1653|1716	cellular organisms|Bacteria|Terrabacteria group|Actinobacteria|Actinobacteria|Micrococcales|Microbacteriaceae|Luna cluster|Luna-1 subcluster|Candidatus Aquiluna	LT627734.1	1855377	Candidatus Aquiluna sp.	Candidatus Aquiluna sp. UB-MaderosW2red	missing	1663904	missing	Complete
PM25344B	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Piscirickettsia	NA	131567|2|1224|28211|204455|69657|85	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Thiotrichales|Piscirickettsiaceae|Piscirickettsia	NZ_CP013821.1:NZ_CP013822.1:NZ_CP013823.1:NZ_CP013824.1:NZ_CP013825.1	1238	Piscirickettsia salmonis	Piscirickettsia salmonis strain PM25344B	4	3511244	PacBio|Illumina Hiseq	Complete
PM58386B	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Piscirickettsia	NA	131567|2|1783270|68336|976|117743|200644|49546|225842	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Thiotrichales|Piscirickettsiaceae|Piscirickettsia	NZ_CP013786.1:NZ_CP013787.1:NZ_CP013788.1:NZ_CP013789.1:NZ_CP013790.1	1238	Piscirickettsia salmonis	Piscirickettsia salmonis strain PM58386B	4	3516383	PacBio|Illumina Hiseq	Complete
M408/89/1:DSM 44612:CCUG 38205:NCIMB 13757:CIP 105741:Collins 31:LMG 19052	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	NA	131567|2|1783270|68336|976|117743|200644|49546|225842	cellular organisms|Bacteria|Terrabacteria group|Actinobacteria|Actinobacteria|Corynebacteriales|Corynebacteriaceae|Corynebacterium	NZ_CP009249.1:NZ_CP009250.1	161895	Corynebacterium phocae	Corynebacterium phocae strain M408/89/1	1	2791883	Illumina	Complete
Mor2	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Hyphomonadaceae	Hyphomonas	NA	131567|2|1783270|68336|976|117743|200644|49546|326319|326320	cellular organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Hyphomonadaceae|Hyphomonas	NZ_CP017718.1	1906738	Hyphomonas sp.	Hyphomonas sp. Mor2	missing	3628091	PacBio|Illumina MiSeq	Complete
Hel1_33_131	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Formosa	NA	131567|2|1224|1236|135623|641|662	cellular organisms|Bacteria|FCB group|Bacteroidetes/Chlorobi group|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Formosa	NZ_CP017260.1	1336794	Formosa sp.	Formosa sp. Hel1_33_131	missing	2735158	454|Sanger	Complete
Hel3_A1_48	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Formosa	NA	131567|2|1224|1236|135623|641|662	cellular organisms|Bacteria|FCB group|Bacteroidetes/Chlorobi group|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Formosa	NZ_CP017259.1	1336795	Formosa sp.	Formosa sp. Hel3_A1_48	missing	2016454	454|Sanger	Complete
DSW-1:KCTC 12391:DSM 17200	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Dokdonia	Dokdonia donghaensis	131567|2|1783272|1760|1760|85007|85025|1827	cellular organisms|Bacteria|FCB group|Bacteroidetes/Chlorobi group|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Dokdonia|Dokdonia donghaensis	NZ_CP015125.1	1300343	Dokdonia donghaensis	Dokdonia donghaensis DSW-1	missing	3293944	PacBio	Complete
AB1-8	Bacteria	Firmicutes	NA	NA	NA	NA	NA	131567|2|1224|1236|135623|641|662|717610|691	cellular organisms|Bacteria|Terrabacteria group|Firmicutes|unclassified Firmicutes sensu stricto|unclassified Firmicutes sensu stricto (miscellaneous)	missing	1898108	Firmicutes bacterium (ex Bugula neritina AB1)	bacterium AB1 strain AB1-8	missing	593366	Illumina HiSeq 2000	Complete
VS-05	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	NA	131567|2|1224|1236|135623|641|662|717610	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Vibrionales|Vibrionaceae|Vibrio	NZ_CP016414.1:NZ_CP016415.1:NZ_CP016416.1:NZ_CP016417.1	45658	Vibrio scophthalmi	Vibrio scophthalmi strain VS-05	2	4802851	PacBio	Complete
VS-12	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	NA	131567|2|1224|1236|135619|135620|187492	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Vibrionales|Vibrionaceae|Vibrio	NZ_CP016307.1:NZ_CP016308.1:NZ_CP016309.1:NZ_CP016310.1:NZ_CP016311.1	45658	Vibrio scophthalmi	Vibrio scophthalmi strain VS-12	3	4926076	PacBio	Complete
8	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	NA	131567|2|1783270|68336|976|117743|200644|49546|292691	cellular organisms|Bacteria|Terrabacteria group|Actinobacteria|Actinobacteria|Corynebacteriales|Nocardiaceae|Rhodococcus	NZ_CP015203.1:NZ_CP015204.1:NZ_CP015205.1:NZ_CP012749.1	1723645	Rhodococcus sp.	Rhodococcus sp. 008	3	7438324	PacBio	Complete
NBRC 15636:ATCC 14048:DSM 759:NCMB 857	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	NA	131567|2|1224|28211|204457|41297|165697	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Vibrionales|Vibrionaceae|Vibrio|Vibrio harveyi group|Vibrio natriegens	NZ_CP016345.1:NZ_CP016346.1	1219067	Vibrio natriegens	Vibrio natriegens NBRC 15636 = ATCC 14048 = DSM 759	missing	5168686	PacBio	Complete
CCUG 16371	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	NA	131567|2|1224|28211|204455|31989|1060	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Vibrionales|Vibrionaceae|Vibrio|Vibrio harveyi group	NZ_CP016347.1:NZ_CP016348.1	691	Vibrio natriegens	Vibrio natriegens strain CCUG 16371	missing	5161447	PacBio	Complete
K188	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Thalassolituus	NA	131567|2|1224|1236|135623|641|662|717610	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Oceanospirillaceae|Thalassolituus	NZ_CP017810.1	187493	Thalassolituus oleivorans	Thalassolituus oleivorans strain K188	missing	3909699	Illumina MiSeq	Complete
LPB0144	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Gramella	NA	131567|2|1224|1236|135623|641|662|717610	cellular organisms|Bacteria|FCB group|Bacteroidetes/Chlorobi group|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Gramella	NZ_CP018153.1	1913577	Gramella sp.	Gramella sp. LPB0144	missing	2978889	PacBio	Complete
LPB0140	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis	NA	131567|2|1783272|1239|91061|1385|186818|1372	cellular organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Sphingopyxis	NZ_CP018154.1	1913578	Sphingopyxis sp.	Sphingopyxis sp. LPB0140	missing	2533041	PacBio	Complete
LPB0142:KACC 18892	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter	NA	131567|2|1224|1236|135623|641|662|717610	cellular organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae|Rhodobacter	NZ_CP017781.1:NZ_CP017782.1:NZ_CP017783.1:NZ_CP017784.1	1850250	Rhodobacter sp.	Rhodobacter sp. LPB0142	3	3780829	PacBio	Complete
108:CCUG 16373:ATCC 33897	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	NA	131567|2|1224|1236|135622|72275|226	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Vibrionales|Vibrionaceae|Vibrio|Vibrio harveyi group	NZ_CP016349.1:NZ_CP016350.1	691	Vibrio natriegens	Vibrio natriegens strain CCUG 16373	missing	5549219	PacBio	Complete
CCUG 16374:LMG 11666	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	NA	131567|2|1224|1236|135622|72275|226	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Vibrionales|Vibrionaceae|Vibrio|Vibrio harveyi group	NZ_CP016351.1:NZ_CP016352.1	691	Vibrio natriegens	Vibrio natriegens strain CCUG 16374	missing	5504684	PacBio	Complete
TF-9:DSM 17275:CIP 11543:JCM 11543:KCCM 41587	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Planococcus	NA	131567|2|1224|1236|135622|72275|226	cellular organisms|Bacteria|Terrabacteria group|Firmicutes|Bacilli|Bacillales|Planococcaceae|Planococcus	NZ_CP016538.2	192421	Planococcus maritimus	Planococcus maritimus strain DSM 17275	missing	3294581	PacBio	Complete
FORC_018	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	NA	131567|2|1224|1236|135622|72275|226	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Vibrionales|Vibrionaceae|Vibrio|Vibrio harveyi group	NZ_CP013826.1:NZ_CP013827.1	670	Vibrio parahaemolyticus	Vibrio parahaemolyticus strain FORC_018	missing	5045560	Illumina|PacBio	Complete
RW2A1	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	NA	131567|2|1224|1236|135622|267888|53246	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales|Alteromonadaceae|Alteromonas	NZ_CP018031.1	1917158	Alteromonas sp.	Alteromonas sp. RW2A1	missing	4143824	Illumina	Complete
CP48	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	NA	131567|2|1224|28211|204457|335929|361177	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales|Alteromonadaceae|Alteromonas	NZ_CP018024.1:NZ_CP018025.1	314275	Alteromonas mediterranea	Alteromonas mediterranea strain CP48	1	4927947	Illumina	Complete
CP49	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	NA	131567|2|1224|1236|135622|72275|226	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales|Alteromonadaceae|Alteromonas	NZ_CP018027.1:NZ_CP018028.1	314275	Alteromonas mediterranea	Alteromonas mediterranea strain CP49	1	4971381	Illumina	Complete
RG65	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	NA	131567|2|1224|1236|135622|72275|226	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales|Alteromonadaceae|Alteromonas	NZ_CP018029.1:NZ_CP018030.1	314275	Alteromonas mediterranea	Alteromonas mediterranea strain RG65	1	4652214	Illumina	Complete
S4054	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	NA	131567|2|1783272|1760|1760|85007|1653|1716	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales|Pseudoalteromonadaceae|Pseudoalteromonas	NZ_CP015415.1:NZ_CP015416.1	43657	Pseudoalteromonas luteoviolacea	Pseudoalteromonas luteoviolacea strain S4054	missing	6221248	PacBio|Illumina HiSeq 2500	Complete
JCM 16345	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Altererythrobacter	NA	131567|2|1783270|68336|976|117743|200644|49546|252356	cellular organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Erythrobacteraceae|Altererythrobacter	NZ_CP016545.1	645517	Altererythrobacter namhicola	Altererythrobacter namhicola strain JCM 16345	missing	2591679	Illumina HiSeq 2500 platform	Complete
PQQ-42	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	NA	131567|2|1783272|1760|1760|85012|83676|2013	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales|Alteromonadaceae|Alteromonas	NZ_CP015345.1	233316	Alteromonas stellipolaris	Alteromonas stellipolaris strain PQQ-42	missing	4755740	PacBio	Complete
PQQ-44	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	NA	131567|2|1224|1236|135613|1738654|1738655	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales|Alteromonadaceae|Alteromonas	NZ_CP015346.1	233316	Alteromonas stellipolaris	Alteromonas stellipolaris strain PQQ-44	missing	4721861	PacBio	Complete
622:DSM 20302	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	NA	131567|2|1224|68525|28221|69541|213421|18	cellular organisms|Bacteria|Terrabacteria group|Actinobacteria|Actinobacteria|Corynebacteriales|Corynebacteriaceae|Corynebacterium	NZ_CP009251.1:NZ_CP009252.1	1705	Corynebacterium stationis	Corynebacterium stationis strain 622=DSM 20302	1	2862233	Illumina	Complete
1_2014MBL_MicDiv	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Maribacter	NA	131567|2|1224|28211|204457|335929|361177	cellular organisms|Bacteria|FCB group|Bacteroidetes/Chlorobi group|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Maribacter	NZ_CP011318.1	1644130	Maribacter sp.	Maribacter sp. 1_2014MBL_MicDiv	missing	4399611	PacBio	Complete
NOCA502F	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Nocardiopsaceae	Nocardiopsis	NA	131567|2|1224|1236|135622|267889|28228	cellular organisms|Bacteria|Terrabacteria group|Actinobacteria|Actinobacteria|Streptosporangiales|Nocardiopsaceae|Nocardiopsis	NZ_CP017965.1	2014	Nocardiopsis dassonvillei	Nocardiopsis dassonvillei strain NOCA502F	missing	6585441	Illumina|PacBio	Complete
XK5:ATCC BAA-2615:CICC 10905	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Woeseiaceae	Woeseia	NA	131567|2|1783272|1239|91061|1385|186817|1386|653685|1938374	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Chromatiales|Woeseiaceae|Woeseia	NZ_CP016268.1	1548547	Woeseia oceani	Woeseia oceani strain XK5	missing	4059891	PacBio	Complete
GhAcy 1:DSM 3247	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae	Pelobacter	NA	131567|2|1783272|1798711|1117|1301283|1150|1892254|1155738|1155739	cellular organisms|Bacteria|Proteobacteria|delta/epsilon subdivisions|Deltaproteobacteria|Desulfuromonadales|Desulfuromonadaceae|Pelobacter	NZ_CP015518.1	29542	Pelobacter acetylenicus	Pelobacter acetylenicus strain DSM 3247	missing	3176363	PacBio	Complete
NBRC 107699	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Altererythrobacter	NA	131567|2|1783272|1798711|1117|1301283|1150|1892254|1155738|1155739	cellular organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Erythrobacteraceae|Altererythrobacter	NZ_CP015963.1	476157	Altererythrobacter ishigakiensis	Altererythrobacter ishigakiensis strain NBRC 107699	missing	2673978	Illumina HiSeq|Sanger	Complete
PAMC 20917	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Colwelliaceae	Colwellia	NA	131567|2|1224|28211|204455|31989|393277	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales|Colwelliaceae|Colwellia	NZ_CP014944.1	1816218	Colwellia sp.	Colwellia sp. PAMC 20917	missing	4683314	PacBio RS II	Complete
9912D	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	NA	131567|2|1783272|1760|1760|85006|85021|265976	cellular organisms|Bacteria|Terrabacteria group|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus subtilis group|Bacillus amyloliquefaciens group	NZ_CP017775.1: NZ_CP017776.1	492670	Bacillus velezensis	Bacillus velezensis strain 9912D	1	4241576	PacBio|Illumina Hiseq	Complete
missing	Bacteria	Cyanobacteria	Oscillatoriophycideae	Oscillatoriales	Oscillatoriaceae	Moorea	Moorea producens	131567|2|1783272|1760|1760|85007|85025|1827	cellular organisms|Bacteria|Terrabacteria group|Cyanobacteria/Melainabacteria group|Cyanobacteria|Oscillatoriophycideae|Oscillatoriales|Oscillatoriaceae|Moorea|Moorea producens	NZ_CP017708.1:NZ_CP017709.1:NZ_CP017710.1	1454205	Moorea producens	Moorea producens JHB	2	9384763	Illumina HiSeq	Complete
PAL-8-15-08-1	Bacteria	Cyanobacteria	Oscillatoriophycideae	Oscillatoriales	Oscillatoriaceae	Moorea	Moorea producens	131567|2|1783270|68336|976|117743|200644|49546|104267	cellular organisms|Bacteria|Terrabacteria group|Cyanobacteria/Melainabacteria group|Cyanobacteria|Oscillatoriophycideae|Oscillatoriales|Oscillatoriaceae|Moorea|Moorea producens	NZ_CP017599.1:NZ_CP017600.1	1458985	Moorea producens	Moorea producens PAL-8-15-08-1	1	9708656	PacBio|Illumina MiSeq	Complete
JLT3646	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Donghicola	NA	131567|2|1224|68525|29547|213849|72293|209	cellular organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae|Donghicola	NZ_CP018572.1:NZ_CP018573.1	1920883	Donghicola sp.	Donghicola sp. JLT3646	1	3147211	PacBio RS II	Complete
JLT9	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae	Serinicoccus	NA	131567|2|1783270|68336|976|117743|200644|49546|52959	cellular organisms|Bacteria|Terrabacteria group|Actinobacteria|Actinobacteria|Micrococcales|Intrasporangiaceae|Serinicoccus	NZ_CP014989.1	1758689	Serinicoccus sp.	Serinicoccus sp. JLT9	missing	3597394	PacBio+Illumina	Complete
WMMA185	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	NA	131567|2|1783270|68336|976|117743|200644|49546|225842	cellular organisms|Bacteria|Terrabacteria group|Actinobacteria|Actinobacteria|Corynebacteriales|Nocardiaceae|Rhodococcus	NZ_CP017014.1	679318	Rhodococcus sp.	Rhodococcus sp. WMMA185	missing	4444448	PacBio	Complete
LPB0136	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Tenacibaculum	NA	131567|2|1224|28211|204457|335929|361177	cellular organisms|Bacteria|FCB group|Bacteroidetes/Chlorobi group|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Tenacibaculum	NZ_CP018155.1	1850252	Tenacibaculum sp.	Tenacibaculum sp. LPB0136	missing	3019213	PacBio	Complete
MIT 01-6242	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	NA	131567|2|1224|1236|135622|72275|2742	cellular organisms|Bacteria|Proteobacteria|delta/epsilon subdivisions|Epsilonproteobacteria|Campylobacterales|Helicobacteraceae|Helicobacter	NZ_CP016503.1	222136	Helicobacter sp.	Helicobacter sp. MIT 01-6242	missing	1594790	PacBio	Complete
LPB0003	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Polaribacter	NA	131567|2|1224|1236|135619|1920240|261963	cellular organisms|Bacteria|FCB group|Bacteroidetes/Chlorobi group|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Polaribacter	NZ_CP017477.1	1774273	Polaribacter vadi	Polaribacter sp. LPB0003	missing	3809314	PacBio	Complete
MA1	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Formosa	NA	131567|2|1783272|1760|1760|85010|2070|65496	cellular organisms|Bacteria|FCB group|Bacteroidetes/Chlorobi group|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Formosa	NZ_BDEL01000001.1	1555194	Formosa haliotis	Formosa haliotis strain LMG 28520	missing	4305801	PacBio RS II	Complete
JM27:KCTC 22672:CCTCC AB 209199	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Altererythrobacter	NA	131567|2|1224|1236|135622|72275|226	cellular organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Erythrobacteraceae|Altererythrobacter	NZ_CP016591.1	692370	Altererythrobacter dongtanensis	Altererythrobacter dongtanensis strain KCTC 22672	missing	3009495	Illumina HiSeq 2500 platform, ABI 3730	Complete
Hb8	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Marinobacter	NA	131567|2|1224|1236|72273|34064|262	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales|Alteromonadaceae|Marinobacter	NZ_CP017715.1	1874317	Marinobacter salinus	Marinobacter sp. Hb8	missing	4121005	PacBio	Complete
KCTC 23892	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Kangiellaceae	Kangiella	NA	131567|2|1224|1236|135614|32033|83614	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Kangiellaceae|Kangiella	NZ_CP012418.1	1144748	Kangiella sediminilitoris	Kangiella sediminilitoris strain KCTC 23892	missing	2496140	PacBio RS II with P6-C4 chemistry	Complete
